一[一]	 	說文: 惟初太始道立於一造分天地化成萬物凡一之屬皆從一Etym: Primitive pictograph 一. From a single line. Meaning one.
丁[丁]	 	說文: 夏時萬物皆丁實象形丁承丙象人心凡丁之屬皆從丁Etym: Primitive pictograph 丁. Is supposed to be of a nail.Phon: 丁 ding1  (productive phonetic)
七[七]	 	說文: 陽之正也從一微陰從中衺出也凡七之屬皆從七Etym: Primitive pictograph 七. Originally looked like 十. Some say a modification of 乂 which meant to cut 切, which was pronounced like seven. Meaning seven.Phon: 七 qi1  (productive phonetic)
丈[丈]	 	說文: 十尺也從又持十Etym: Primitive pictograph 丈. A hand 又 and ten 十. Meaning a span of ten hands.Phon: 丈 zhang4  (productive phonetic)
三[三]	 	說文: 天地人之道也從三數凡三之屬皆從三Etym: From three ones' 一. Meaning 3.
上[上]	 	說文: 篆文上Etym: Primitive pictograph 上(丄𠄞). A mark above the line indicating up.
下[下]	 	說文: 篆文下Etym: Primitive pictograph 下(丅𠄟). A mark below the line. Meaning down.
不[不]	 	說文: 鳥飛上翔不下來也從一一猶天也象形凡不之屬皆從不Etym: Primitive pictograph 不. Unclear origin. Possibly a root which us pulled up and is thus NOT there. Meaning "no".Phon: 不 bu4  (productive phonetic)
与[与]	 	說文: 黨與也從舁從与Phon: 与 yu2 A 
丐[丐]	 	說文: 气也逯安說亡人為匃Etym: Primitive pictograph 丐. From person 勹 and hiden 亡. Meaning to beg.Phon: 丐匃匄 gai4  (productive phonetic)
丑[丑]	 	說文: 紐也十二月萬物動用事象手之形時加丑亦舉手時也凡丑之屬皆從丑Phon: 丑 chou3  (productive phonetic)
专[專]	 	說文: 六寸簿也從寸叀聲一曰專紡專Etym: Compound pictograph 专專専叀. From a drop spindle 叀 beingtworled with a hand 寸. Original of 转. Borrowed for sound to mean monopolize.Phon: 專 zhuan1 tuan2 chuan2 叀 zhuan1 hui4  (productive phonetic)Simplify: (super cursive simplification 专專)
且[且]	 	說文: 薦也從几足有二橫一其下地也凡且之屬皆從且Etym: Primitive pictograph 且. An ancesteral tablet placed on the altar.Phon: 且 qie2 ju1 cu2  (productive phonetic)
丕[丕]	 	說文: 大也從一不聲Etym: Augmented pictograph 丕. Augmentation 一 and phonetic 不 and . Meaning great.Phon: 丕 pi1 不 bu4  (productive phonetic)
世[世]	 	說文: 三十年為一世從D842 DD84而曳長之亦取其聲也Etym: Primitive pictograph 世. Probably the top of leaf 枼. Meaning a life.Phon: 世 shi4  (productive phonetic)
丘[丘]	 	說文: 土之高也非人所為也從北從一一地也人居在丘南故從北中邦之居在崑崙東南一曰四方高中央下為丘象形凡丘之屬皆從丘Etym: Primitive pictograph 丘. A small mountain. Meaning hill.Phon: 丘 qiu1  (productive phonetic)
丙[丙]	 	說文: 位南方萬物成炳然陰气初起陽气將虧從一入冂一者陽也丙承乙象人肩凡丙之屬皆從丙徐锴曰陽功成入於冂冂門也天地陰陽之門也Etym: Primitive pictograph 丙. Unclear origin, possibly a fire place. Meaning 3rd heavenly stem. *Phon: 丙 bing4  (productive phonetic)
业[業]	 	說文: 大版也所以飾鼓捷業如鋸齒以白畫之象其鉏鋙相承也從丵從巾巾象版詩曰巨業維樅Etym: Deletion remnant 业(t業). Primitive pictograph 業. Possibly from a chisel doing work on the top of a cave. Meaning professional (as in work) *Simplify: (deletion 业業)
丛[叢]	 	說文: 聚也從丵取聲Etym: Substituted character 丛叢. From phonetic 从 and  augmentation stroke 一. Meaning bush.Simplify: (character substitution 丛叢)
东[東]	 	說文: 動也從木官溥說從日在木中凡東之屬皆從東Etym: Primitive pictograph 东東. A bag of things tied at both ends 东東. Meaning things. Later borrowed for sound.Phon: 東 dong1  (productive phonetic)Simplify: 东東(cursive)
丝[絲]	 	說文: 蠶所吐也從二糸凡絲之屬皆從絲Etym: Primitive pictograph 丝(t絲). Strands of silk. Meaning silk.Phon: 絲 si1 糸 mi4 si1  (productive phonetic)Simplify: (C05纟糸z) above (一)
丞[丞]	 	說文: 翊也從廾從ㄗ從山山高奉承之義Etym: Primitive pictograph 丞. Hands 廾(right and left) helping a man 卩 out of a remnant hole 一. Meaning to rescue.Phon: 丞 cheng2 zheng1 zheng3  (productive phonetic)
丢[丟]	 	Etym: Augmented pictograph 丢丟. Augmentation  一 and to go 去. Meaning to discuard.
两[兩]	 	說文: 二十四銖為一兩從一㒳平分亦聲Etym: Primitive pictograph 两兩. A double ox harnis (yolk). Meaning two.Phon: 兩 liang3  (productive phonetic)Simplify: (super cursive simplification 两兩)
严[嚴]	 	說文: 教命急也從吅D842 DE9A聲Etym: Deletion remnant 严(t嚴). From double mouth 吅 (that talks a lot) and phonetic 𠪚 [From 厂 and phonetic (also meaning brave) 敢*]. Meaning stern.Phon: 嚴 yan2 敢 gan3  (productive phonetic)Simplify: (super cursive simplification 严(嚴-敢))
丧[喪]	 	說文: 亡也從哭從亡會意亡亦聲Etym: Cursive remnant 丧喪. From remnant dog *犬 crying 口口 at a funeral 亡. Meaning funeral.Simplify: (super cursive simplification 丧喪)
个[個]	 	Etym: Primitive pictograph 个. A bamboo segment. Borrowed for sound. Meaning "of".Phon: 固 gu4 古 gu3 gu4 ku1 Simplify: ( character substitution 个個)
中[中]	 	說文: 和也從口｜上下通Etym: Primitive pictograph 中. A line through a squair indicating center 中. Originally a pictograph of 综.Phon: 中 zhong1 zhong4  (productive phonetic)
丰[丰]	 	說文: 艸盛丰丰也從生上下達也Phon: 丰 feng1  (productive phonetic)
串[串]	 	Etym: Primitive pictograph 串. Small objects 口 strung on a string thus to string.Phon: 串 chuan4  (productive phonetic)
临[臨]	 	說文: 監臨也從臥品聲Etym: Primitive pictograph 臨. A man 臥 with an eye looking over his posessions 品. Meaning to be near.Phon: 品 pin3 Simplify: (super cursive simplification 临臨)
丸[丸]	 	說文: 圜傾側而轉者從反仄凡丸之屬皆從丸Etym: Primitive pictograph 丸. From 厂(stroke modificaton) and (reverse) 人*. Logic unclear. Meaning small round object.
丹[丹]	 	說文: 巴越之赤石也象采丹井一象丹形凡丹之屬皆從丹Etym: Primitive pictograph 丹. From well / mine 井 and a dot. Meaning cinabar, also meaning red.Phon: 丹 dan1  (productive phonetic)
